HANDLE,Lon,Lat,Rating,SITEADDR,LANDUSE1,ASRUSE1,BDG1YEAR,BDG1EXWALL,MatchLevel
14462060030,-90.24435837,38.66913818,Moderate,4624 ELMBANK AV,1110,1110,1927,31,4
14463000350,-90.23973555,38.66752527,Substantial to Heavy,4439 ELMBANK AV,1110,1110,1929,31,7
14462060020,-90.24450922,38.66918868,Very Heavy,4628 ELMBANK AV,1110,1110,1929,31,3
14462060455,-90.24467363,38.66862973,Very Heavy,4625 GREER AV,1110,1110,1926,31,4
14463000080,-90.23968563,38.66814086,Negligible to Slight,4448-50 ASHLAND AV,1140,1140,1926,31,7
14463000090,-90.23959652,38.66813026,Moderate,4446 ASHLAND AV,1140,1140,1926,31,9
13771000275,-90.2565535,38.65842613,Negligible to Slight,4800 PAGE BLVD,5000,5000,0,0,10
14463000090,-90.23953364,38.66808552,Negligible to Slight,4446 ASHLAND AV,1140,1140,1926,31,11
13710020010,-90.24520366,38.6683928,Moderate,4628 GREER AV,1110,1110,1928,31,9
13710020020,-90.24511154,38.66836648,Moderate,4626 GREER AV,1110,1110,1928,31,10
13771000280,-90.25664029,38.65831853,Moderate,1245-7 WALTON AV,5000,5000,1903,31,11
13710020020,-90.24503905,38.66833278,Moderate,4626 GREER AV,1110,1110,1928,31,11
14463000360,-90.23980755,38.66755206,Substantial to Heavy,4441 ELMBANK AV,1120,1120,1912,31,9
13771000220,-90.25761836,38.65819114,Substantial to Heavy,1228 BAYARD AV,1120,1120,1900,31,13
13710020040,-90.24493024,38.66830842,Negligible to Slight,4622 GREER AV,1110,1110,1928,31,11
13771000210,-90.25766961,38.65808651,Moderate,1224 BAYARD AV,1110,1110,1928,31,15
13771000200,-90.25769822,38.65799074,Moderate,1218-22 BAYARD AV,1010,1010,0,0,15
13710020480,-90.2455158,38.66782392,Substantial to Heavy,4623 LABADIE AV,1110,1110,1906,31,16
13710020480,-90.24537361,38.66774431,Moderate,4623 LABADIE AV,1110,1110,1906,31,10
13771000300,-90.25670899,38.6581615,Moderate,1237 WALTON AV,1010,1010,0,0,6
13710020460,-90.24518304,38.66767672,Substantial to Heavy,4617 LABADIE AV,1110,1110,1908,31,8
13771000310,-90.25671209,38.65806174,Substantial to Heavy,1233 WALTON AV,1120,1120,1905,31,8
13710020450,-90.24507868,38.66761308,Substantial to Heavy,4613-5 LABADIE AV,1120,1120,1925,31,9
13618000140,-90.23980681,38.66712415,Negligible to Slight,4432 ELMBANK AV,1120,1120,1896,31,9
13618000150,-90.23970524,38.66708141,Negligible to Slight,4430 ELMBANK AV,1110,1110,1896,31,8
13771000320,-90.2567307,38.65799649,Substantial to Heavy,1231 WALTON AV,1120,1120,1905,31,7
13710020050,-90.24477284,38.66816021,Moderate,4616 GREER AV,1110,1110,1958,31,6
13618000160,-90.23958547,38.66705254,Moderate,4424 ELMBANK AV,1110,1110,1896,31,9
13710020060,-90.24451879,38.66811191,Moderate,4608 GREER AV,1120,1120,1902,31,9
13771000330,-90.25671814,38.65791378,Negligible to Slight,1229 WALTON AV,1120,1120,1905,31,10
13618000170,-90.23948769,38.66699096,Very Heavy,4422 ELMBANK AV,1110,1110,1894,31,8
13710020070,-90.24444963,38.66807452,Substantial to Heavy,4606 GREER AV,1120,1120,1921,31,10
13618000190,-90.2393091,38.66694522,Moderate,4418 ELMBANK AV,1110,1110,1921,31,11
13710020080,-90.2443503,38.66804602,Moderate,4604 GREER AV,1110,1110,1890,32,11
